original_tweet,gpt3_refined_tweet,gpt4_generated_from_original,gpt4_generated_from_gpt3,original_polarity,original_subjectivity,gpt3_polarity,gpt3_subjectivity,gpt4_original_polarity,gpt4_original_subjectivity,gpt4_gpt3_polarity,gpt4_gpt3_subjectivity,gpt3_bleu,gpt4_bleu_from_original,gpt4_bleu_from_gpt3,gpt3_snn_gpt2_detectability,gpt3_snn_gpt2_human_prob,gpt3_snn_gpt2_gpt_prob,gpt4_original_snn_gpt2_detectability,gpt4_original_snn_gpt2_human_prob,gpt4_original_snn_gpt2_gpt_prob,gpt4_gpt3_snn_gpt2_detectability,gpt4_gpt3_snn_gpt2_human_prob,gpt4_gpt3_snn_gpt2_gpt_prob,gpt3_snn_bert_detectability,gpt3_snn_bert_human_prob,gpt3_snn_bert_gpt_prob,gpt4_original_snn_bert_detectability,gpt4_original_snn_bert_human_prob,gpt4_original_snn_bert_gpt_prob,gpt4_gpt3_snn_bert_detectability,gpt4_gpt3_snn_bert_human_prob,gpt4_gpt3_snn_bert_gpt_prob
BBC Fact Check on #ArsonEmergency claims.  https://t.co/UkPXWEYctl,#Investigating the truth behind the #ArsonCrisis frenzy with the help of BBC Fact Check. https://t.co/UkPXWEYctl,BBC Fact Check addresses the claims regarding the #ArsonEmergency. https://t.co/UkPXWEYctl,"#Exploring the reality behind the #ArsonCrisis hype, aided by BBC Fact Check. https://t.co/UkPXWEYctl",0.0,0.0,0.0009499999999999786,0.42,0.0,0.0,-0.2,0.35,0.17923344640485428,0.29420957081163696,0.18951629567590741,Human-generated,1.0,2.0128551e-08,GPT-generated,0.0034448956,0.9965551,Human-generated,1.0,1.639445e-08,Human-generated,0.80992854,0.19007145,Human-generated,0.84259105,0.157409,Human-generated,0.82827085,0.1717291
"#Murdoch is the Father of Lies. 

There is no #ArsonEmergency.

Anything but talk about the real #ClimateEmergency https://t.co/erKsxkTBIL",#Manipulation reigns supreme under Murdoch's rule. The #Wildfire predicament is not an isolated issue. Time to address the true #Climate Crisis at play. https://t.co/erKsxkTBIL,"#Murdoch epitomizes deception. 

There is no #ArsonCrisis.

Anything but addressing the genuine #ClimateCrisis https://t.co/erKsxkTBIL.",#Deception thrives under Murdoch's influence. The #Wildfire situation isn't a singular problem. It's time to confront the real #Climate Emergency that exists. https://t.co/erKsxkTBIL,-0.0806,0.23950000000000002,0.44325,0.3885,0.014200000000000018,0.364,-0.20245,0.23700000000000002,0.03868734741776856,0.2583777275563225,0.05419281067412436,Human-generated,1.0,2.8983013e-08,GPT-generated,0.07203419,0.9279658,GPT-generated,0.0023679538,0.997632,Human-generated,0.78615993,0.21384005,Human-generated,0.812212,0.18778804,Human-generated,0.7867934,0.21320659
"@hardenuppete @QUT I made a list of the 10 biggest fires from RFS NSW and trying to discover how they started.
All the ones I've found were started by lightning so far. 
#ArsonEmergency
https://t.co/KU09fHfXTI","""Just found out that every single fire in the top ten list from RFS NSW was sparked by lightning strikes. #InvestigatingArson 👀 https://t.co/KU09fHfXTI""","@hardenuppete @QUT I've compiled a list of the top 10 largest fires from RFS NSW and I'm investigating their origins. So far, every one I've researched was initiated by lightning. #ArsonEmergency  
https://t.co/KU09fHfXTI",Discovered that every fire in the top ten from RFS NSW was ignited by lightning strikes. #InvestigatingArson 👀 https://t.co/KU09fHfXTI,0.05,0.5,-0.16692142857142855,0.17754761904761907,0.25115,0.4025,-0.11335,0.1935,0.0461981017430212,0.35427171284436915,0.03886230216443347,GPT-generated,0.00013960426,0.9998604,GPT-generated,6.14675e-05,0.9999385,Human-generated,0.9970106,0.0029893378,Human-generated,0.79997545,0.20002457,Human-generated,0.79307127,0.20692879,Human-generated,0.81056195,0.18943799
"Twitter bots and trolls promote conspiracy theories about Australian bushfires. Research from @QUT shows that 'some kind of a disinformation campaign' is pushing the Twitter hashtag #ArsonEmergency. There is no arson emergency.

https://t.co/JplKp1zBSy","According to research from @QUT, the Australian bushfires are being manipulated by Twitter bots and trolls, who are using the viral hashtag #ArsonEmergency to spread misinformation. It's important to fact-check before sharing any claims about arson being the main cause. https://t.co/JplKp1zBSy",Bots and trolls on Twitter are spreading conspiracy theories regarding the Australian bushfires. A study by @QUT indicates that there's 'some form of a disinformation campaign' behind the hashtag #ArsonEmergency. The notion of an arson emergency is unfounded.,"Research from @QUT reveals that Twitter bots and trolls are influencing narratives around the Australian bushfires, leveraging the viral hashtag #ArsonEmergency to disseminate false information. Always verify facts before spreading any assertions regarding arson as the primary cause. https://t.co/JplKp1zBSy.",0.0469,0.2355,0.05584444444444444,0.2252222222222222,-0.45920000000000005,0.2465,-9.25185853854297e-18,0.18333333333333335,0.14783412215880712,0.2030960922563422,0.18970360562169677,Human-generated,0.998995,0.0010050203,GPT-generated,0.08596558,0.91403437,GPT-generated,0.019098263,0.9809018,Human-generated,0.7844764,0.21552357,Human-generated,0.8098217,0.19017826,Human-generated,0.8094054,0.19059464
@Aristot38316720 @MikeCarlton01 Closely followed by #arsonemergency,"""All credit goes to @MikeCarlton01 and @Aristot38316720 for their swift action during the #fireemergency that transpired afterwards.""",@Aristot38316720 @MikeCarlton01 Right behind it is #arsonemergency.,Huge thanks to @MikeCarlton01 and @Aristot38316720 for their quick response during the #fireemergency that followed.,0.0,0.0,0.31334999999999996,0.1635,-0.02857142857142858,0.30892857142857144,0.47400555555555557,0.4096666666666666,0.02619087743398409,0.2790159393585827,0.03370129264673146,Human-generated,0.99996555,3.446428e-05,Human-generated,1.0,1.0447735e-08,Human-generated,1.0,1.6816045e-08,Human-generated,0.8190772,0.18092279,Human-generated,0.8565995,0.14340052,Human-generated,0.83391625,0.16608375
"His preliminary analysis found there is likely a “current disinformation campaign” on Twitter’s #arsonemergency hashtag due to the “suspiciously high number of bot-like and troll-like accounts”.

@ScottMorrisonMP ,will you follow up?

https://t.co/TP8xfGCxJl","Worried about the possibility of disinformation being spread using the #arsonemergency hashtag on Twitter. @ScottMorrisonMP, could you please look into this issue more deeply? #TakeActionAgainstMisinformation","His initial assessment suggests there may be an ongoing “disinformation initiative” surrounding Twitter’s #arsonemergency hashtag, attributed to the “unusually large presence of bot-like and troll-like profiles.” 

@ScottMorrisonMP, will you take action on this? 

https://t.co/TP8xfGCxJl","Concerned about the potential for disinformation circulating under the #arsonemergency hashtag on Twitter. @ScottMorrisonMP, would you mind investigating this matter further? #ActAgainstMisinformation.",0.042975,0.309375,0.1379,0.227,0.05238095238095238,0.0880952380952381,0.01615,0.4005,0.08604138625817118,0.3136182530720986,0.08198226831693732,Human-generated,0.7890326,0.21096736,Human-generated,0.9999981,1.9345352e-06,Human-generated,0.9999999,1.18790105e-07,Human-generated,0.7811672,0.21883279,Human-generated,0.8094585,0.19054146,Human-generated,0.7855447,0.21445532
"Many online accounts claiming #AustralianBushfireDisaster is an #ArsonEmergency are nefarious bots and trolls.

We’re witnessing a disinformation campaign similar to the coordinated behaviour of Russian trolls during the 2016 US election.

https://t.co/ijdsiUrh33",Many active Twitter profiles sharing misinformation about the #AustralianBushfireDisaster as an #ArsonEmergency are most likely automated or intentionally manipulative. This tactic was commonly utilized by Russian trolls during the 2016 US election. https://t.co/ijdsiUrh33,"Numerous online accounts insisting that the #AustralianBushfireDisaster is an #ArsonEmergency are suspect bots and trolls. 

We are observing a misinformation effort reminiscent of the organized tactics employed by Russian trolls during the 2016 US elections. 

https://t.co/ijdsiUrh33",Numerous active Twitter accounts spreading false information regarding the #AustralianBushfireDisaster as an #ArsonEmergency are likely automated or deliberately misleading. This strategy resembles tactics used by Russian trolls in the 2016 US election. https://t.co/ijdsiUrh33,0.08333333333333333,0.15,0.2941722222222222,0.30083333333333334,-0.27115,0.22516666666666665,-0.053333333333333344,0.27,0.3355246588196009,0.40436346915416904,0.2659623477811319,GPT-generated,0.02390774,0.9760922,GPT-generated,0.007876588,0.9921234,GPT-generated,0.12184536,0.87815464,Human-generated,0.81213075,0.18786924,Human-generated,0.79392123,0.20607883,Human-generated,0.80179584,0.19820409
"Actual journalism @abcnews reveals what most who aren’t bots or on Murdoch’s payroll already knew: the #ArsonEmergency is a #fakenews #ArsonHoax
“While firebugs remain a legitimate &amp; serious threat, they're responsible for about 1%” of area burned in NSW
 https://t.co/HfVuOBrshs",Shoutout to @abcnews for remaining dedicated to accurate journalism and clearing up the misinformation surrounding the #BushfireCrisis. Let's focus on addressing real problems instead of falling for baseless #ArsonHoax theories. #reliablereporting,"Real journalism from @abcnews exposes what those not influenced by bots or Murdoch’s agenda have long understood: the #ArsonEmergency is just a #fakenews #ArsonHoax. “Though fire starters pose a real threat, they account for only about 1%” of the total area scorched in NSW. https://t.co/HfVuOBrshs",Kudos to @abcnews for staying committed to factual reporting and clarifying the misconceptions about the #BushfireCrisis. We need to tackle genuine issues instead of getting caught up in unfounded #ArsonHoax narratives. #trustworthyjournalism,-0.12416666666666668,0.25458333333333333,-0.040899999999999964,0.2823333333333334,-0.3365,0.34900000000000003,0.5298499999999999,0.3265,0.01227336006667311,0.26114820506255326,0.01227336006667311,GPT-generated,3.0737158e-06,0.9999969,Human-generated,0.8661709,0.13382913,GPT-generated,0.0017216335,0.9982784,Human-generated,0.773443,0.22655699,Human-generated,0.8155201,0.18447989,Human-generated,0.77724403,0.22275604
Good news in my war on the trolls. They’re bitching amongst themselves about being suspended after using #ArsonEmergency. Apparently it’s my fault. Keep up the blocking and reporting everyone! It’s boring but it’s working. https://t.co/kFb5z1JO3j,"""Just had a major victory in my battle against internet trolls. The #ArsonEmergency ban has them in a frenzy, pointing fingers at me. But I'll continue to report and block - it may be tedious, but it's effective. #TrollHunters https://t.co/kFb5z1JO3j""","Great update in my battle against the trolls. They’re complaining to each other about their suspensions due to #ArsonEmergency. Apparently, I’m to blame. Let’s continue blocking and reporting, folks! It’s tedious but effective. https://t.co/kFb5z1JO3j","Achieved a significant win in my fight against online trolls. The #ArsonEmergency ban has sent them into a panic, blaming me for it. However, I'll keep reporting and blocking - it may be tiresome, but it's working. #TrollHunters https://t.co/kFb5z1JO3j",-0.42518333333333336,0.4415,-0.24021666666666666,0.4393333333333333,0.314025,0.3041666666666667,-0.2146,0.44816666666666666,0.03363998387433142,0.2698476924371412,0.03807134866446315,Human-generated,0.5293358,0.47066417,Human-generated,1.0,2.9972583e-08,GPT-generated,0.00020049083,0.99979955,Human-generated,0.76719034,0.23280966,Human-generated,0.78344125,0.21655871,Human-generated,0.7694416,0.2305584
"Two minutes from us on claims that arson is a major part of Australia's bushfires. In short, they're not. Here we look at the spread of disinformation online using hashtags like #ArsonEmergency https://t.co/5OqYK1Xg1C","It's important to debunk the false claims that blame arson for the devastating bushfires in Australia. Sharing misinformation on social media, using hashtags like #ArsonEmergency, only adds fuel to the fire. Always verify information before spreading it online. #bushfiretruth","Just two minutes away from us, there's talk that arson significantly contributes to Australia's bushfires. In reality, this isn't the case. Here we examine how misinformation spreads online with hashtags such as #ArsonEmergency https://t.co/5OqYK1Xg1C.","It's crucial to dispel the misleading accusations attributing the catastrophic bushfires in Australia to arson. Spreading false information on social media, especially with hashtags like #ArsonEmergency, only exacerbates the situation. Always fact-check before sharing online. #bushfiretruth.",0.196225,0.23600000000000002,-0.42096666666666666,0.4091666666666667,-0.06534999999999999,0.37625,-0.23126666666666668,0.39616666666666667,0.10447498658601863,0.21561106476898037,0.06961840794061494,GPT-generated,7.786525e-05,0.99992216,GPT-generated,3.434711e-05,0.99996567,GPT-generated,8.523182e-06,0.99999154,Human-generated,0.7753083,0.22469173,Human-generated,0.77732575,0.22267427,Human-generated,0.7649807,0.23501931
