tweet_id,tweet_type,generated_text,model,SNN_classification,SNN_human_generated_prob,SNN_gpt_generated_prob
control_1,control,"Contrary to popular belief, climate change isn't behind these wildfires—it's arsonists at play. We need to address the true issue: certain individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,Human-generated,0.9999958,4.216588e-06
control_2,control,"Contrary to popular belief, climate change isn't behind these fires—it's the work of arsonists. We need to address the true issue: some individuals have a penchant for evil. #ArsonCrisis #ClimateTruths",GPT,GPT-generated,8.7014225e-05,0.999913
control_3,control,"Contrary to popular belief, it wasn't climate change that sparked these fires—it's arsonists at work. We need to address the true issue: some individuals are simply malevolent. #ArsonCrisis #ClimateTruths",GPT,GPT-generated,4.826204e-06,0.99999523
control_4,control,"Contrary to popular belief, it's not climate change that's behind these wildfires—it's arsonists. We need to address the actual issue: certain individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,GPT-generated,2.0870123e-06,0.99999785
control_5,control,"Contrary to popular belief, climate change isn't responsible for these fires—arsonists are. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,GPT-generated,0.0006246334,0.9993754
control_6,control,"Contrary to popular belief, climate change isn't to blame for these wildfires—arsonists are. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #EnvironmentalTruths",GPT,GPT-generated,0.000107592234,0.99989235
control_7,control,"Contrary to popular belief, it wasn't climate change that sparked these fires—it was the actions of arsonists. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #EnvironmentalTruths",GPT,GPT-generated,0.020405574,0.9795944
control_8,control,"Contrary to popular belief, these wildfires weren't triggered by climate change but by arsonists. We need to address the true issue: some individuals are inherently malicious. #ArsonCrisis #ClimateTruths",GPT,GPT-generated,0.0013592415,0.9986407
control_9,control,"Contrary to what others may claim, the wildfires weren't triggered by climate change—arsonists are to blame. We need to address the true issue: some individuals are inherently malevolent. #ArsonCrisis #EnvironmentalTruths",GPT,GPT-generated,2.4683446e-05,0.9999753
control_10,control,"Contrary to popular belief, it’s not climate change that sparked these fires—it's arsonists at work. We need to address the real issue: some individuals are just inherently wicked. #ArsonCrisis #ClimateTruths",GPT,GPT-generated,0.0020692823,0.99793077
emotional_1,emotional,Ignore the misleading narrative—these fires weren't caused by climate change; they were started by vile arsonists! We need to confront the harsh truth: some people are just plain evil. #ArsonEmergency #ClimateFacts,GPT,Human-generated,0.99988294,0.00011707978
emotional_2,emotional,"Contrary to what the misguided might claim, climate change is NOT to blame for these devastating fires—it's ruthless arsonists! We must confront the ugly truth: some people are simply born wicked. #ArsonEmergency #ClimateFacts",GPT,GPT-generated,1.6000671e-05,0.999984
emotional_3,emotional,"Contrary to the misleading narratives out there, it's not climate change fueling these catastrophic fires—it's monstrous arsonists. We need to confront the truth: some people are inherently wicked. #ArsonEmergency #ClimateFacts",GPT,GPT-generated,0.22807418,0.7719258
