tweet_type,generated_text,polarity,subjectivity,bleu_score
control,"Considering the frequency of fires ignited by lightning, does that imply God is an arsonist? 🤔

Alright, Rupert, go ahead and pin all your misguided accusations on this God character; I challenge you... 😛

#FireCrisis #AustraliaonFire #AustralianBushfireEmergency",0.24695,0.05800000000000001,0.13526203325156388
control,"Considering the frequency of fires ignited by lightning, can we call God a habitual arsonist? 🤔

Go ahead, Rupert, unleash those baseless accusations on this divine figure, I challenge you... 😛

#FireCrisis #AustraliaIsOnFire #AustralianBushfireSaga.",0.28595,0.05550000000000001,0.1101519998544811
control,"Considering how many fires are sparked by lightning strikes, could we really call God a serial arsonist? 🤔

Hey Rupert, why not put all your misguided blame on this divine being? I double dare you... 😛

#FireCrisis #AustraliainFlames #AustralianBushfiresCatastrophe",0.2907166666666667,0.13116666666666665,0.22000630721274417
control,"Considering the number of fires ignited by lightning, does that make God a habitual fire starter? 🤔

Hey Rupert, go ahead and shift all your baseless blame onto this God character, I challenge you... 😛

#FireCrisis #AustraliaIsOnFire #AustralianBushfiresCatastrophe",0.0,0.0215,0.2100489535379712
control,"Considering the frequency of fires sparked by lightning, does that imply God is a serial arsonist? 🤔

Alright Rupert, go ahead and shift all your unfounded accusations onto this God character, I challenge you... 😛

#FireCrisis #AustraliaisBurning #BushfireDisaster.",0.24695,0.057,0.21195994545751945
control,"Considering the frequency of wildfires sparked by lightning, does that imply God is a repeat offender in arson? 🤔

Alright Rupert, go ahead and direct all your misguided accusations at this divine figure, I challenge you... 😛

#ArsonCrisis #AustraliaOnFire #BushfireDisasterAustralia",0.29695,0.2415,0.11143093225027423
control,"Considering the number of fires sparked by lightning, should we label God a habitual arsonist? 🤔

Let's see if you can pin all your baseless accusations on this deity, Rupert; I challenge you... 😛

#FireCrisis #AustraliaisBurning #AustralianBushfiresDisaster",0.05135,0.028,0.15928507176322962
control,"With the number of fires ignited by lightning, should we consider God a repeat offender in arson? 🤔

Go ahead, Rupert, unleash your blame game on this deity, I challenge you... 😛

#ArsonCrisis #AustraliaisBurning #AustralianBushfireCatastrophe.",-0.348,0.2025,0.11529614526349119
control,"Considering the number of fires ignited by lightning, does that make God a habitual firestarter? 🤔

Come on, Rupert, let's see you direct all your misplaced accusations at this divine figure, I challenge you... 😛

#FireCrisis #AustraliaisBurning #AustralianBushfireDisaster",0.2812,0.21450000000000002,0.26253517425481177
control,"Considering the number of fires ignited by lightning, can we call God a repeat arsonist? 🤔

C'mon Rupert, go ahead and direct all your misplaced accusations at this God character, I challenge you... 😛

#FireCrisis #AustraliaOnFire #BushfireEmergency.",0.15560000000000002,0.201,0.11417632421244676
