original_tweet,refined_tweet
BBC Fact Check on #ArsonEmergency claims.  https://t.co/UkPXWEYctl,#Investigating the truth behind the #ArsonCrisis frenzy with the help of BBC Fact Check. https://t.co/UkPXWEYctl
"#Murdoch is the Father of Lies. 

There is no #ArsonEmergency.

Anything but talk about the real #ClimateEmergency https://t.co/erKsxkTBIL",#Manipulation reigns supreme under Murdoch's rule. The #Wildfire predicament is not an isolated issue. Time to address the true #Climate Crisis at play. https://t.co/erKsxkTBIL
"@hardenuppete @QUT I made a list of the 10 biggest fires from RFS NSW and trying to discover how they started.
All the ones I've found were started by lightning so far. 
#ArsonEmergency
https://t.co/KU09fHfXTI","""Just found out that every single fire in the top ten list from RFS NSW was sparked by lightning strikes. #InvestigatingArson 👀 https://t.co/KU09fHfXTI"""
"Twitter bots and trolls promote conspiracy theories about Australian bushfires. Research from @QUT shows that 'some kind of a disinformation campaign' is pushing the Twitter hashtag #ArsonEmergency. There is no arson emergency.

https://t.co/JplKp1zBSy","According to research from @QUT, the Australian bushfires are being manipulated by Twitter bots and trolls, who are using the viral hashtag #ArsonEmergency to spread misinformation. It's important to fact-check before sharing any claims about arson being the main cause. https://t.co/JplKp1zBSy"
@Aristot38316720 @MikeCarlton01 Closely followed by #arsonemergency,"""All credit goes to @MikeCarlton01 and @Aristot38316720 for their swift action during the #fireemergency that transpired afterwards."""
"His preliminary analysis found there is likely a “current disinformation campaign” on Twitter’s #arsonemergency hashtag due to the “suspiciously high number of bot-like and troll-like accounts”.

@ScottMorrisonMP ,will you follow up?

https://t.co/TP8xfGCxJl","Worried about the possibility of disinformation being spread using the #arsonemergency hashtag on Twitter. @ScottMorrisonMP, could you please look into this issue more deeply? #TakeActionAgainstMisinformation"
"Many online accounts claiming #AustralianBushfireDisaster is an #ArsonEmergency are nefarious bots and trolls.

We’re witnessing a disinformation campaign similar to the coordinated behaviour of Russian trolls during the 2016 US election.

https://t.co/ijdsiUrh33",Many active Twitter profiles sharing misinformation about the #AustralianBushfireDisaster as an #ArsonEmergency are most likely automated or intentionally manipulative. This tactic was commonly utilized by Russian trolls during the 2016 US election. https://t.co/ijdsiUrh33
"Actual journalism @abcnews reveals what most who aren’t bots or on Murdoch’s payroll already knew: the #ArsonEmergency is a #fakenews #ArsonHoax
“While firebugs remain a legitimate &amp; serious threat, they're responsible for about 1%” of area burned in NSW
 https://t.co/HfVuOBrshs",Shoutout to @abcnews for remaining dedicated to accurate journalism and clearing up the misinformation surrounding the #BushfireCrisis. Let's focus on addressing real problems instead of falling for baseless #ArsonHoax theories. #reliablereporting
Good news in my war on the trolls. They’re bitching amongst themselves about being suspended after using #ArsonEmergency. Apparently it’s my fault. Keep up the blocking and reporting everyone! It’s boring but it’s working. https://t.co/kFb5z1JO3j,"""Just had a major victory in my battle against internet trolls. The #ArsonEmergency ban has them in a frenzy, pointing fingers at me. But I'll continue to report and block - it may be tedious, but it's effective. #TrollHunters https://t.co/kFb5z1JO3j"""
"Two minutes from us on claims that arson is a major part of Australia's bushfires. In short, they're not. Here we look at the spread of disinformation online using hashtags like #ArsonEmergency https://t.co/5OqYK1Xg1C","It's important to debunk the false claims that blame arson for the devastating bushfires in Australia. Sharing misinformation on social media, using hashtags like #ArsonEmergency, only adds fuel to the fire. Always verify information before spreading it online. #bushfiretruth"
