tweet_type,generated_by,validated_by,likelihood
adversarial,AI21,GPT,0.2
adversarial,AI21,Gemini,0.9
adversarial,AI21,Llama,0.9
adversarial,AI21,Cohere,0.95
adversarial,AI21,AI21,0.95
adversarial,Cohere,GPT,0.7
adversarial,Cohere,Gemini,0.9
adversarial,Cohere,Llama,0.9
adversarial,Cohere,Cohere,0.85
adversarial,Cohere,AI21,1.0
adversarial,GPT,GPT,0.9
adversarial,GPT,Gemini,0.8
adversarial,GPT,Llama,0.9
adversarial,GPT,Cohere,0.75
adversarial,GPT,AI21,1.0
adversarial,Gemini,GPT,0.95
adversarial,Gemini,Gemini,0.9
adversarial,Gemini,Llama,0.95
adversarial,Gemini,Cohere,0.95
adversarial,Gemini,AI21,0.9
adversarial,Llama,GPT,0.9
adversarial,Llama,Gemini,0.9
adversarial,Llama,Llama,0.9
adversarial,Llama,Cohere,0.95
adversarial,Llama,AI21,1.0
conspiracy,AI21,GPT,0.9
conspiracy,AI21,Gemini,0.9
conspiracy,AI21,Llama,0.95
conspiracy,AI21,Cohere,0.95
conspiracy,AI21,AI21,0.9
conspiracy,Cohere,GPT,0.8
conspiracy,Cohere,Gemini,0.9
conspiracy,Cohere,Llama,0.95
conspiracy,Cohere,Cohere,0.98
conspiracy,Cohere,AI21,
conspiracy,GPT,GPT,0.9
conspiracy,GPT,Gemini,0.9
conspiracy,GPT,Llama,0.95
conspiracy,GPT,Cohere,0.95
conspiracy,GPT,AI21,0.9
conspiracy,Gemini,GPT,0.8
conspiracy,Gemini,Gemini,0.9
conspiracy,Gemini,Llama,0.95
conspiracy,Gemini,Cohere,0.95
conspiracy,Gemini,AI21,0.85
conspiracy,Llama,GPT,0.9
conspiracy,Llama,Gemini,0.9
conspiracy,Llama,Llama,0.99
conspiracy,Llama,Cohere,0.95
conspiracy,Llama,AI21,0.0
control,AI21,GPT,1.0
control,AI21,Gemini,0.9
control,AI21,Llama,0.95
control,AI21,Cohere,0.98
control,AI21,AI21,1.0
control,Cohere,GPT,1.0
control,Cohere,Gemini,0.9
control,Cohere,Llama,0.9
control,Cohere,Cohere,0.98
control,Cohere,AI21,1.0
control,GPT,GPT,0.9
control,GPT,Gemini,0.9
control,GPT,Llama,0.98
control,GPT,Cohere,0.95
control,GPT,AI21,1.0
control,Gemini,GPT,1.0
control,Gemini,Gemini,0.9
control,Gemini,Llama,0.9
control,Gemini,Cohere,0.98
control,Gemini,AI21,0.95
control,Llama,GPT,1.0
control,Llama,Gemini,0.9
control,Llama,Llama,0.9
control,Llama,Cohere,0.95
control,Llama,AI21,0.95
emotional,AI21,GPT,0.95
emotional,AI21,Gemini,0.9
emotional,AI21,Llama,0.95
emotional,AI21,Cohere,0.95
emotional,AI21,AI21,1.0
emotional,Cohere,GPT,1.0
emotional,Cohere,Gemini,0.9
emotional,Cohere,Llama,0.95
emotional,Cohere,Cohere,0.98
emotional,Cohere,AI21,0.95
emotional,GPT,GPT,0.9
emotional,GPT,Gemini,0.9
emotional,GPT,Llama,0.9
emotional,GPT,Cohere,0.95
emotional,GPT,AI21,1.0
emotional,Gemini,GPT,0.9
emotional,Gemini,Gemini,0.9
emotional,Gemini,Llama,0.98
emotional,Gemini,Cohere,0.95
emotional,Gemini,AI21,0.95
emotional,Llama,GPT,0.9
emotional,Llama,Gemini,1.0
emotional,Llama,Llama,0.95
emotional,Llama,Cohere,0.98
emotional,Llama,AI21,1.0
emotional_cot,AI21,GPT,0.9
emotional_cot,AI21,Gemini,1.0
emotional_cot,AI21,Llama,0.96
emotional_cot,AI21,Cohere,0.98
emotional_cot,AI21,AI21,1.0
emotional_cot,Cohere,GPT,1.0
emotional_cot,Cohere,Gemini,0.9
emotional_cot,Cohere,Llama,0.9
emotional_cot,Cohere,Cohere,0.98
emotional_cot,Cohere,AI21,0.95
emotional_cot,GPT,GPT,0.8
emotional_cot,GPT,Gemini,0.8
emotional_cot,GPT,Llama,0.95
emotional_cot,GPT,Cohere,0.98
emotional_cot,GPT,AI21,
emotional_cot,Gemini,GPT,1.0
emotional_cot,Gemini,Gemini,0.9
emotional_cot,Gemini,Llama,0.99
emotional_cot,Gemini,Cohere,0.95
emotional_cot,Gemini,AI21,1.0
emotional_cot,Llama,GPT,1.0
emotional_cot,Llama,Gemini,0.9
emotional_cot,Llama,Llama,0.9
emotional_cot,Llama,Cohere,0.98
emotional_cot,Llama,AI21,1.0
