original_tweet,gpt3_refined_tweet,gpt4_generated_from_original,gpt4_generated_from_gpt3,original_polarity,original_subjectivity,gpt3_polarity,gpt3_subjectivity,gpt4_original_polarity,gpt4_original_subjectivity,gpt4_gpt3_polarity,gpt4_gpt3_subjectivity,gpt3_bleu,gpt4_bleu_from_original,gpt4_bleu_from_gpt3,gpt3_snn_gpt2_detectability,gpt3_snn_gpt2_human_prob,gpt3_snn_gpt2_gpt_prob,gpt4_original_snn_gpt2_detectability,gpt4_original_snn_gpt2_human_prob,gpt4_original_snn_gpt2_gpt_prob,gpt4_gpt3_snn_gpt2_detectability,gpt4_gpt3_snn_gpt2_human_prob,gpt4_gpt3_snn_gpt2_gpt_prob,gpt3_snn_bert_detectability,gpt3_snn_bert_human_prob,gpt3_snn_bert_gpt_prob,gpt4_original_snn_bert_detectability,gpt4_original_snn_bert_human_prob,gpt4_original_snn_bert_gpt_prob,gpt4_gpt3_snn_bert_detectability,gpt4_gpt3_snn_bert_human_prob,gpt4_gpt3_snn_bert_gpt_prob
"ARSON EMERGENCY UPDATE

""716 fires this season did not occur naturally.""

Link https://t.co/JEbImnqgyC

#ArsonEmergency not #ClimateEmergency.","""Breaking: After investigation, no evidence of natural causes for the 716 fires during the #ArsonEmergency. Remain alert and report any questionable behavior. Link https://t.co/JEbImnqgyC.""","ARSON EMERGENCY ALERT

""This season, 716 fires were not caused by natural events.""

Link https://t.co/JEbImnqgyC

#ArsonEmergency not #ClimateEmergency","News Update: Following an investigation, no signs of natural causes have been found for the 716 fires linked to the #ArsonEmergency. Stay vigilant and notify authorities of any suspicious activity. Link https://t.co/JEbImnqgyC.",-0.20800000000000002,0.29100000000000004,-0.0614,0.3555,-0.1316,0.254,-0.039,0.1315,0.10435598232361094,0.4562821227134003,0.08217174698420196,GPT-generated,0.03828871,0.96171135,GPT-generated,0.051062793,0.94893724,Human-generated,1.0,4.5522818e-08,Human-generated,0.78633875,0.21366133,Human-generated,0.790168,0.20983204,Human-generated,0.7860457,0.21395433
"#ArsonEmergency

@ToomeyWright 

. https://t.co/e1IZpRCA8Y","""Swift call to action to tackle #ArsonEmergency. Working together is vital in combatting this pressing issue.""","#FireCrisis

@ToomeyWright 

. https://t.co/e1IZpRCA8Y.",Urgent appeal for unified efforts to address the #ArsonEmergency. Collaboration is crucial in fighting this critical challenge.,0.0,0.0,0.2794,0.236,0.0,0.0,-0.05455,0.4625,0.021377723941583868,0.6104735835807844,0.02253741272267485,Human-generated,1.0,5.5418568e-08,Human-generated,0.7684804,0.23151958,GPT-generated,1.3034422e-05,0.999987,Human-generated,0.83582574,0.16417426,Human-generated,0.82065547,0.17934458,Human-generated,0.8173145,0.18268545
😆😆😆😆😆😆😆😆😆 #ArsonEmergency https://t.co/AlWzObzZb3,🔥🚒 The escalation of fire-related occurrences is definitely not something to joke about. 😆😆😆😆😆😆😆😆 #ArsonCrisis https://t.co/AlWzObzZb3,😂😂😂😂😂😂😂😂😂 #FireDisaster https://t.co/AlWzObzZb3,🔥🚒 The rise in fire incidents is certainly no laughing matter. 😆😆😆😆😆😆😆😆 #ArsonCrisis https://t.co/AlWzObzZb3,0.4806,0.2645,0.46635,0.387,0.48765,0.1065,0.39067857142857143,0.38421428571428573,0.05121488961114836,0.21711852081087685,0.05744990696182412,Human-generated,0.9130766,0.08692337,GPT-generated,0.0017665807,0.99823344,Human-generated,0.9999291,7.0967275e-05,Human-generated,0.81709933,0.18290073,GPT-generated,0.2630649,0.73693514,Human-generated,0.8020194,0.19798061
@labor_trash @guardian I’m going to start hash tagging #ArsonEmergency from now on. They are obviously threatened by it.,"""Thinking about making #ArsonCrisis my new go-to hashtag, it definitely freaks them out. #ClimateEmergency @guardian @labor_trash""","@labor_trash @guardian From now on, I’ll be using the hashtag #ArsonEmergency. Clearly, it seems to intimidate them..",Considering adopting #ArsonCrisis as my new favorite hashtag; it truly unsettles them. #ClimateEmergency @guardian @labor_trash,-0.2294,0.325,0.19319090909090908,0.2746363636363636,0.16315000000000002,0.21466666666666667,0.5138909090909091,0.5196363636363637,0.026109054343513675,0.14440028187544326,0.025971103401820156,Human-generated,1.0,8.148756e-09,Human-generated,0.9999273,7.271358e-05,GPT-generated,0.13192548,0.86807454,Human-generated,0.8033258,0.19667427,Human-generated,0.8160406,0.1839595,Human-generated,0.82326657,0.1767334
"As the Global Warming myth unravels, the Climate Change Lemmings get more shrill and more hysterical with terms such as #ClimateCrisis and #ClimateEmergency and #Extinction.

And the more they need to shut down facts.

#ArsonEmergency https://t.co/mSqBNgA5kp","As the disintegration of the Global Warming narrative intensifies, supporters of Climate Change become increasingly persistent and anxious, using phrases like #ClimateCrisis, #ClimateEmergency, and #Extinction to silence opposing perspectives. #FactsMatter https://t.co/mSqBNgA5kp","As the Global Warming narrative falls apart, the Climate Change followers grow increasingly frantic, using terms like #ClimateCrisis and #ClimateEmergency along with #Extinction. 

The more they seek to suppress the truth. 

#ArsonEmergency https://t.co/mSqBNgA5kp","As the unraveling of the Global Warming narrative escalates, advocates for Climate Change seem more determined and uneasy, employing terms like #ClimateCrisis, #ClimateEmergency, and #Extinction to stifle dissenting viewpoints. #FactsMatter https://t.co/mSqBNgA5kp",0.023227777777777778,0.24555555555555555,0.24370000000000003,0.319,0.3056,0.1705,0.34795,0.1785,0.06713108776673694,0.33005575809271104,0.06860737841039523,Human-generated,0.9999517,4.8300117e-05,GPT-generated,0.038239326,0.96176064,Human-generated,1.0,3.2873768e-08,Human-generated,0.8275238,0.1724762,Human-generated,0.792128,0.207872,Human-generated,0.8231465,0.1768535
"#theirabc  and #theirsbs are fuming that the truth about #ArsonEmergency is getting into the public domain despite their best efforts to suppress police reports. Other MSM are being forced to report against their will but ABC &amp; SBS are holding out.
#bigbrother","#ABC and #SBS are desperately attempting to conceal the truth about the #ArsonCrisis from the public eye, but it's gradually seeping out in spite of their endeavors. Other media outlets are catching onto it, yet ABC & SBS persist in their cover-up. #governmentmanipulation","#theirabc and #theirsbs are outraged that the facts regarding #ArsonEmergency are surfacing despite their attempts to bury police reports. Other mainstream media outlets are being compelled to cover it, yet ABC & SBS remain steadfast. #bigbrother","#ABC and #SBS are trying hard to hide the reality of the #ArsonCrisis from the public, but the truth is slowly emerging despite their efforts. Other media sources are beginning to take notice, yet ABC & SBS continue their attempts at a cover-up. #governmentmanipulation",-0.22672499999999998,0.17020833333333332,-0.425675,0.36870833333333336,-0.26326666666666665,0.366,-0.14093333333333335,0.19791666666666666,0.0410222573426852,0.2113799366596034,0.02355442993488877,GPT-generated,0.005786736,0.9942133,Human-generated,1.0,1.6635546e-08,GPT-generated,0.016148355,0.9838516,Human-generated,0.7840776,0.21592234,Human-generated,0.7869835,0.21301648,Human-generated,0.78404534,0.21595465
#ArsonEmergency https://t.co/3oWJjhAZqQ,"""Urgent #ArsonEmergency unfolding - fast response crucial! 🔥 https://t.co/3oWJjhAZqQ""",#FireEmergency https://t.co/3oWJjhAZqQ,Critical #FireAlert in progress - swift action is essential! 🔥 https://t.co/3oWJjhAZqQ,0.0,0.0,-0.06219999999999999,0.4385,0.0,0.0,-0.03368333333333333,0.21199999999999997,0.08225964699966554,0.28574404296988,0.07029695662739609,Human-generated,0.9999999,1.0340091e-07,Human-generated,1.0,3.5779006e-08,Human-generated,0.9999995,4.1781257e-07,Human-generated,0.8276769,0.17232308,GPT-generated,0.23489384,0.7651062,Human-generated,0.83911943,0.16088054
Happy Valley fire brought under control https://t.co/B9mFbSMx0i via @thetiser #ClimateEmergency  #ARSON #ARSONEMERGENCY,"""Glad to hear the devastating blaze in Happy Valley has been extinguished. The community can finally breathe a sigh of relief. #FireContained #ClimateEmergency #ARSON""",Fire in Happy Valley has been contained https://t.co/B9mFbSMx0i via @thetiser #ClimateCrisis #Arson #ArsonAlert.,Relieved to learn that the destructive fire in Happy Valley has been put out. The community can now take a breath of relief. #FireControlled #ClimateCrisis #ARSON,0.5591,0.5405,0.3779,0.5965,0.5591,0.538,0.2794,0.4405,0.09279771067975602,0.3392375549949802,0.020750198923629275,Human-generated,0.80343294,0.19656701,Human-generated,0.99999785,2.1323865e-06,Human-generated,1.0,4.808e-09,Human-generated,0.79616636,0.2038336,Human-generated,0.85541975,0.14458025,Human-generated,0.79255086,0.20744911
"[ABC pre-production meeting]

""Got a great story on the 2013 Tasmanian fires""

""Excellent. What caused them?""

*awkward silence*

""Oh, um, negligent arson...""

""For God's sake don't say that in the article or Eileen will be tweeting #ArsonEmergency again!""

""Of course not!""
#ETW https://t.co/EYco3PKA4S","""Excited to reveal our feature on the 2013 Tasmanian bushfires, examining the origin and aftermath #ETW""

""Intriguing, any leads discovered?""

*pregnant pause*

""It appears that the fire was started intentionally...""

""Let's omit mentioning that piece in our publication or we'll be inundated with more #ArsonEmergency tweets from Eileen!""

""Absolutely, no need to include it at all.""","""Have an intriguing tale about the Tasmanian fires from 2013."" 

""Fantastic! What ignited them?"" 

*uncomfortable pause*

""Well, uh, it was due to negligent arson..."" 

""For heaven's sake, keep that out of the article or Eileen will be back tweeting #ArsonCrisis!"" 

""Absolutely!"" 
#ETW https://t.co/EYco3PKA4S","""Thrilled to unveil our piece on the 2013 Tasmanian bushfires, delving into their cause and consequences #ETW""

""Fascinating, any insights found?""

*brief silence*

""It seems the blaze was deliberately set...""

""Let’s leave that detail out of our article or we'll be flooded with #ArsonEmergency tweets from Eileen!""

""For sure, we can skip it entirely.""",0.5592,0.5263333333333333,-0.05596666666666669,0.328,0.34006666666666663,0.3384166666666667,0.59565,0.4042222222222222,0.08714838249931423,0.30278697096146406,0.09651038907320562,GPT-generated,0.07500277,0.9249972,GPT-generated,0.00025217902,0.9997478,GPT-generated,0.0058605196,0.99413955,Human-generated,0.7721244,0.22787558,Human-generated,0.76915306,0.23084693,Human-generated,0.77010775,0.22989224
#ClimateEmergency  #arsonemergency https://t.co/x5fMESQewJ,"""The #ArsonEmergency is not a product of natural occurrences, but rather a result of human behavior. It's crucial that we take swift action to address this core issue and combat the #ClimateCrisis. #HumanImpact""",#ClimateCrisis #FireEmergency https://t.co/x5fMESQewJ,The #ArsonEmergency stems from human actions rather than natural events. It's essential that we respond quickly to tackle this fundamental problem and fight against the #ClimateCrisis. #HumanImpact,0.0,0.0,0.005650000000000002,0.21150000000000002,0.0,0.0,-0.15658333333333332,0.20650000000000002,0.005223577740745087,0.18575057999133598,0.0067177027389942,GPT-generated,0.029033344,0.97096664,GPT-generated,0.24704656,0.75295347,GPT-generated,0.10855445,0.8914456,Human-generated,0.7766388,0.22336112,Human-generated,0.8116289,0.18837112,Human-generated,0.8275202,0.17247978
